Sample	Family	Genus	Species	Count
CF1_1	Labridae	Austrolabrus	maculatus	1
CF1_1	Labridae	Coris	auricularis	3
CF1_1	Labridae	Notolabrus	parilus	1
CF1_1	Labridae	Ophthalmolepis	lineolatus	11
CF1_1	Labridae	Pseudolabrus	biserialis	5
CF1_1	Monacanthidae	Meuschenia	flavolineata	1
CF1_1	Monacanthidae	Meuschenia	galii	1
CF1_1	Monacanthidae	Meuschenia	venusta	1
CF1_1	Pomacentridae	Chromis	klunzingeri	11
CF1_1	Scorpididae	Neatypus	obliquus	5
CF1_1	Serranidae	Caesioperca	rasor	2
CF1_1	Serranidae	Othos	dentex	1
CF1_2	Dasyatidae	Bathytoshia	brevicaudata	1
CF1_2	Gerreidae	Parequula	melbournensis	2
CF1_2	Labridae	Coris	auricularis	6
CF1_2	Labridae	Ophthalmolepis	lineolatus	13
CF1_2	Labridae	Pseudolabrus	biserialis	3
CF1_2	Monacanthidae	Meuschenia	galii	1
CF1_2	Mullidae	Upeneichthys	vlamingii	1
CF1_2	Myliobatidae	Myliobatis	tenuicaudatus	2
CF1_2	Rhinobatidae	Trygonorrhina	dumerilii	1
CF1_2	Serranidae	Caesioperca	spp	3
CF1_3	Dasyatidae	Bathytoshia	brevicaudata	1
CF1_3	Labridae	Austrolabrus	maculatus	1
CF1_3	Labridae	Coris	auricularis	9
CF1_3	Labridae	Notolabrus	parilus	2
CF1_3	Labridae	Ophthalmolepis	lineolatus	13
CF1_3	Labridae	Pictilabrus	laticlavius	1
CF1_3	Labridae	Pseudolabrus	biserialis	6
CF1_3	Mullidae	Upeneichthys	vlamingii	1
CF1_3	Plesiopidae	Trachinops	noarlungae	28
CF1_3	Pomacentridae	Chromis	klunzingeri	16
CF1_3	Scorpididae	Neatypus	obliquus	5
CF1_3	Scorpididae	Scorpis	georgiana	1
CF1_3	Serranidae	Othos	dentex	1
CF1_4	Carangidae	Pseudocaranx	spp.	2
CF1_4	Labridae	Coris	auricularis	2
CF1_4	Labridae	Ophthalmolepis	lineolatus	8
CF1_4	Labridae	Pictilabrus	laticlavius	1
CF1_4	Labridae	Pseudolabrus	biserialis	6
CF1_4	Monacanthidae	Meuschenia	flavolineata	2
CF1_4	Monacanthidae	Meuschenia	galii	1
CF1_4	Mullidae	Upeneichthys	vlamingii	1
CF1_4	Pempherididae	Pempheris	multiradiata	7
CF1_4	Pomacentridae	Chromis	klunzingeri	9
CF1_4	Serranidae	Caesioperca	sp	11
CF1_5	Labridae	Austrolabrus	maculatus	2
CF1_5	Labridae	Coris	auricularis	4
CF1_5	Labridae	Notolabrus	parilus	1
CF1_5	Labridae	Ophthalmolepis	lineolatus	10
CF1_5	Labridae	Pseudolabrus	biserialis	6
CF1_5	Pempherididae	Pempheris	multiradiata	1
CF1_5	Scorpididae	Neatypus	obliquus	5
CF1_5	Scorpididae	Tilodon	sexfasciatus	1
CF2_1	Cheilodactylidae	Nemadactylus	valenciennesi	2
CF2_1	Labridae	Austrolabrus	maculatus	1
CF2_1	Labridae	Coris	auricularis	6
CF2_1	Labridae	Notolabrus	parilus	1
CF2_1	Labridae	Ophthalmolepis	lineolatus	10
CF2_1	Labridae	Pseudolabrus	biserialis	4
CF2_1	Monacanthidae	Meuschenia	venusta	1
CF2_1	Mullidae	Upeneichthys	vlamingii	1
CF2_1	Rhinobatidae	Trygonorrhina	dumerilii	1
CF2_1	Scorpididae	Scorpis	georgiana	1
CF2_1	Serranidae	Caesioperca	rasor	1
CF2_2	Dasyatidae	Dasyatis	brevicaudata	1
CF2_2	Labridae	Coris	auricularis	1
CF2_2	Labridae	Notolabrus	parilus	1
CF2_2	Labridae	Ophthalmolepis	lineolatus	6
CF2_2	Labridae	Pictilabrus	laticlavius	1
CF2_2	Labridae	Pseudolabrus	biserialis	5
CF2_2	Monacanthidae	Acanthaluteres	vittiger	1
CF2_2	Monacanthidae	Meuschenia	flavolineata	1
CF2_2	Monacanthidae	Meuschenia	galii	3
CF2_2	Muraenidae	Gymnothorax	prasinus	1
CF2_2	Myliobatidae	Myliobatis	australis	1
CF2_2	Odacidae	Heteroscarus	acroptilus	1
CF2_2	Odacidae	Olisthops	cyanomelas	1
CF2_2	Pempherididae	Pempheris	klunzingeri	66
CF2_2	Pomacentridae	Chromis	klunzingeri	20
CF2_2	Urolophidae	Trygonoptera		1
CF2_3	Gerreidae	Parequula	melbournensis	1
CF2_3	Labridae	Coris	auricularis	2
CF2_3	Labridae	Notolabrus	parilus	1
CF2_3	Labridae	Ophthalmolepis	lineolatus	14
CF2_3	Labridae	Pseudolabrus	biserialis	4
CF2_3	Monacanthidae	Meuschenia	flavolineata	1
CF2_3	Monacanthidae	Meuschenia	galii	1
CF2_3	Mullidae	Upeneichthys	vlamingii	1
CF2_3	Myliobatidae	Myliobatis	tenuicaudatus	1
CF2_3	Pomacentridae	Chromis	klunzingeri	1
CF2_3	Scorpididae	Neatypus	obliquus	2
CF2_3	Serranidae	Caesioperca	sp	3
CF2_3	Serranidae	Hypoplectrodes	nigroruber	1
CF2_4	Clupeidae	Nematalosa	vlaminghi	1
CF2_4	Gerreidae	Parequula	melbournensis	2
CF2_4	Labridae	Coris	auricularis	4
CF2_4	Labridae	Notolabrus	parilus	2
CF2_4	Labridae	Ophthalmolepis	lineolatus	10
CF2_4	Labridae	Pictilabrus	laticlavius	1
CF2_4	Labridae	Pseudolabrus	biserialis	3
CF2_4	Monacanthidae	Meuschenia	flavolineata	1
CF2_4	Myliobatidae	Myliobatis	australis	2
CF2_4	Odacidae	Olisthops	cyanomelas	1
CF2_4	Pempherididae	Pempheris	klunzingeri	1
CF2_4	Pomacentridae	Chromis	klunzingeri	4
CF2_4	Scorpididae	Neatypus	obliquus	4
CF2_4	Scorpididae	Tilodon	sexfasciatus	1
CF2_5	Labridae	Anampses	geographicus	1
CF2_5	Labridae	Coris	auricularis	4
CF2_5	Labridae	Notolabrus	parilus	1
CF2_5	Labridae	Ophthalmolepis	lineolatus	5
CF2_5	Labridae	Pictilabrus	laticlavius	2
CF2_5	Labridae	Pseudolabrus	biserialis	5
