Sample	Family	Genus	Species	Count
CF1_1	Dasyatidae	Bathytoshia	brevicaudata	1
CF1_1	Labridae	Austrolabrus	maculatus	5
CF1_1	Labridae	Coris	auricularis	72
CF1_1	Labridae	Notolabrus	parilus	1
CF1_1	Labridae	Ophthalmolepis	lineolatus	5
CF1_1	Labridae	Pseudolabrus	biserialis	4
CF1_1	Monacanthidae	Meuschenia	flavolineata	1
CF1_1	Monacanthidae	Meuschenia	galii	1
CF1_1	Myliobatidae	Myliobatis	tenuicaudatus	1
CF1_1	Neosebastidae	Neosebastes	pandus	1
CF1_1	Scorpididae	Neatypus	obliquus	2
CF1_1	Serranidae	Caesioperca	rasor	2
CF1_1	Serranidae	Epinephelides	armatus	1
CF1_3	Gerreidae	Parequula	melbournensis	1
CF1_3	Labridae	Austrolabrus	maculatus	1
CF1_3	Labridae	Coris	auricularis	4
CF1_3	Labridae	Notolabrus	parilus	1
CF1_3	Labridae	Ophthalmolepis	lineolatus	11
CF1_3	Labridae	Pictilabrus	laticlavius	1
CF1_3	Labridae	Pseudolabrus	biserialis	7
CF1_3	Monacanthidae	Meuschenia	galii	1
CF1_3	Mullidae	Upeneichthys	vlamingii	1
CF1_3	Pomacentridae	Chromis	klunzingeri	3
CF1_3	Scorpididae	Neatypus	obliquus	5
CF1_3	Serranidae	Hypoplectrodes	nigroruber	1
CF1_4	Aplodactylidae	Aplodactylus	westralis	1
CF1_4	Dasyatidae	Bathytoshia	brevicaudata	2
CF1_4	Gerreidae	Parequula	melbournensis	1
CF1_4	Labridae	Austrolabrus	maculatus	2
CF1_4	Labridae	Coris	auricularis	9
CF1_4	Labridae	Notolabrus	parilus	2
CF1_4	Labridae	Ophthalmolepis	lineolatus	24
CF1_4	Labridae	Pseudolabrus	biserialis	3
CF1_4	Monacanthidae	Scobinichthys	granulatus	1
CF1_4	Mullidae	Upeneichthys	vlamingii	1
CF1_4	Orectolobidae	Orectolobus	spp	1
CF1_4	Pomacentridae	Chromis	klunzingeri	4
CF1_4	Scorpididae	Neatypus	obliquus	7
CF1_5	Aulopidae	Latropiscis	purpurissatus	1
CF1_5	Dasyatidae	Bathytoshia	brevicaudata	1
CF1_5	Labridae	Austrolabrus	maculatus	2
CF1_5	Labridae	Coris	auricularis	30
CF1_5	Labridae	Notolabrus	parilus	1
CF1_5	Labridae	Ophthalmolepis	lineolatus	14
CF1_5	Labridae	Pseudolabrus	biserialis	4
CF1_5	Monacanthidae	Meuschenia	galii	2
CF1_5	Monacanthidae	Scobinichthys	granulatus	1
CF1_5	Myliobatidae	Myliobatis	tenuicaudatus	2
CF1_5	Odacidae	Siphonognathus	caninis	1
CF1_5	Pomacentridae	Chromis	klunzingeri	1
CF1_5	Scorpididae	Neatypus	obliquus	2
CF1_5	Scorpididae	Scorpis	georgiana	1
CF1_5	Urolophidae	Trygonoptera	ovalis	1
CF2_1	Dasyatidae	Bathytoshia	brevicaudata	1
CF2_1	Labridae	Austrolabrus	maculatus	2
CF2_1	Labridae	Coris	auricularis	28
