Sample	Family	Genus	Species	Count
CF1_1	Gerreidae	Parequula	melbournensis	10
CF1_1	Heterodontidae	Heterodontus	portusjacksoni	1
CF1_1	Labridae	Austrolabrus	maculatus	1
CF1_1	Labridae	Coris	auricularis	13
CF1_1	Labridae	Ophthalmolepis	lineolatus	6
CF1_1	Labridae	Pseudolabrus	biserialis	4
CF1_1	Parascylliidae	Parascyllium	variolatum	1
CF1_1	Pomacentridae	Chromis	klunzingeri	2
CF1_1	Scorpididae	Neatypus	obliquus	4
CF1_1	Serranidae	Caesioperca	rasor	1
CF1_2	Gerreidae	Parequula	melbournensis	1
CF1_2	Labridae	Coris	auricularis	4
CF1_2	Labridae	Notolabrus	parilus	1
CF1_2	Labridae	Ophthalmolepis	lineolatus	3
CF1_2	Labridae	Pseudolabrus	biserialis	5
CF1_2	Parascylliidae	Parascyllium	variolatum	1
CF1_2	Pempherididae	Pempheris	klunzingeri	4
CF1_2	Pomacentridae	Chromis	klunzingeri	27
CF1_2	Scorpididae	Neatypus	obliquus	1
CF1_2	Serranidae	Caesioperca	spp	4
CF1_3	Carangidae	Seriola	hippos	1
CF1_3	Labridae	Ophthalmolepis	lineolatus	3
CF1_3	Labridae	Pseudolabrus	biserialis	2
CF1_3	Myliobatidae	Myliobatis	tenuicaudatus	1
CF1_3	Pempherididae	Pempheris	klunzingeri	1
CF1_3	Pomacentridae	Chromis	klunzingeri	1
CF1_3	Scorpididae	Neatypus	obliquus	1
CF1_3	Sphyraenidae	Sphyraena	novaehollandiae	1
CF1_4	Gerreidae	Parequula	melbournensis	2
CF1_4	Labridae	Austrolabrus	maculatus	1
CF1_4	Labridae	Ophthalmolepis	lineolatus	8
CF1_4	Labridae	Pseudolabrus	biserialis	4
CF1_4	Pempherididae	Pempheris	klunzingeri	6
CF1_4	Pomacentridae	Chromis	klunzingeri	31
CF1_4	Scorpididae	Neatypus	obliquus	8
CF1_4	Scyliorhinidae	Aulohalaelurus	labiosus	1
CF1_4	Serranidae	Caesioperca	spp	5
CF1_4	Urolophidae	Trygonoptera	ovalis	1
CF1_5	Carangidae	Pseudocaranx	spp.	1
CF1_5	Heterodontidae	Heterodontus	portusjacksoni	1
CF1_5	Labridae	Coris	auricularis	1
CF1_5	Labridae	Pseudolabrus	biserialis	7
CF1_5	Mullidae	Upeneichthys	vlamingii	1
CF1_5	Pomacentridae	Chromis	klunzingeri	48
CF1_5	Rhinobatidae	Trygonorrhina	dumerilii	1
CF1_5	Scorpididae	Neatypus	obliquus	1
CF1_5	Scorpididae	Tilodon	sexfasciatus	1
CF2_1	Labridae	Coris	auricularis	8
CF2_1	Labridae	Notolabrus	parilus	1
CF2_1	Labridae	Ophthalmolepis	lineolatus	7
CF2_1	Labridae	Pseudolabrus	biserialis	2
CF2_1	Monacanthidae	Scobinichthys	granulatus	1
CF2_1	Pempherididae	Pempheris	klunzingeri	7
CF2_1	Scorpididae	Neatypus	obliquus	1
CF2_1	Serranidae	Caesioperca	rasor	1
CF2_2	Dasyatidae	Bathytoshia	brevicaudata	1
CF2_2	Labridae	Ophthalmolepis	lineolatus	5
CF2_2	Labridae	Pseudolabrus	biserialis	5
CF2_2	Muraenidae	Gymnothorax	prasinus	1
CF2_2	Odacidae	Olisthops	cyanomelas	1
CF2_2	Pempherididae	Pempheris	klunzingeri	12
CF2_2	Scyliorhinidae	Aulohalaelurus	labiosus	1
CF2_3	Dasyatidae	Bathytoshia	brevicaudata	1
CF2_3	Labridae	Ophthalmolepis	lineolatus	5
CF2_3	Labridae	Pseudolabrus	biserialis	4
CF2_3	Monacanthidae	Meuschenia	galii	1
CF2_3	Monacanthidae	Scobinichthys	granulatus	1
CF2_3	Myliobatidae	Myliobatis	tenuicaudatus	1
CF2_3	Pempherididae	Pempheris	klunzingeri	3
CF2_3	Scorpididae	Neatypus	obliquus	1
CF2_4	Carangidae	Seriola	hippos	4
CF2_4	Kyphosidae	Girella	tephraeops	1
CF2_4	Kyphosidae	Kyphosus	sydneyanus	3
CF2_4	Labridae	Coris	auricularis	4
CF2_4	Labridae	Ophthalmolepis	lineolatus	6
CF2_4	Labridae	Pseudolabrus	biserialis	4
CF2_4	Scorpididae	Scorpis	aequipinnis	1
CF2_4	Scyliorhinidae	Asymbolus	vincenti	1
CF2_4	Scyliorhinidae	Aulohalaelurus	labiosus	1
CF2_4	Serranidae	Epinephelides	armatus	1
CF2_4	Sparidae	Chrysophrys	auratus	1
CF2_5	Labridae	Coris	auricularis	1
CF2_5	Labridae	Ophthalmolepis	lineolatus	8
CF2_5	Labridae	Pseudolabrus	biserialis	1
CF2_5	Monacanthidae	Meuschenia	galii	1
CF2_5	Myliobatidae	Myliobatis	tenuicaudatus	3
CF2_5	Parascylliidae	Parascyllium	variolatum	1
CF2_5	Pempherididae	Pempheris	klunzingeri	16
CF3_1	Gerreidae	Parequula	melbournensis	1
CF3_1	Labridae	Coris	auricularis	2
CF3_1	Labridae	Notolabrus	parilus	1
CF3_1	Labridae	Ophthalmolepis	lineolatus	23
CF3_1	Labridae	Pseudolabrus	biserialis	7
CF3_1	Myliobatidae	Myliobatis	tenuicaudatus	2
CF3_1	Pempherididae	Pempheris	klunzingeri	1
CF3_1	Pomacentridae	Chromis	klunzingeri	32
CF3_1	Scorpididae	Neatypus	obliquus	12
CF3_1	Urolophidae	Trygonoptera	ovalis	2
CF3_1	Urolophidae	Urolophus	circularis	1
CF3_2	Aplodactylidae	Aplodactylus	westralis	1
CF3_2	Cheilodactylidae	Nemadactylus	valenciennesi	2
CF3_2	Kyphosidae	Girella	tephraeops	1
CF3_2	Kyphosidae	Girella	zebra	1
CF3_2	Labridae	Bodianus	frenchii	1
CF3_2	Labridae	Coris	auricularis	4
CF3_2	Labridae	Notolabrus	parilus	1
CF3_2	Labridae	Ophthalmolepis	lineolatus	2
CF3_2	Labridae	Pictilabrus	laticlavius	1
CF3_2	Labridae	Pseudolabrus	biserialis	6
CF3_2	Monacanthidae	Meuschenia	galii	1
CF3_2	Muraenidae	Gymnothorax	prasinus	1
CF3_2	Myliobatidae	Myliobatis	tenuicaudatus	1
CF3_2	Scyliorhinidae	Aulohalaelurus	labiosus	1
CF3_2	Serranidae	Othos	dentex	1
CF3_2	Urolophidae	Urolophus	circularis	1
CF3_3	Labridae	Coris	auricularis	2
CF3_3	Labridae	Pictilabrus	laticlavius	2
CF3_3	Odacidae	Olisthops	cyanomelas	1
CF3_3	Pempherididae	Pempheris	klunzingeri	11
CF3_3	Pomacentridae	Chromis	klunzingeri	26
CF3_4	Dasyatidae	Bathytoshia	brevicaudata	1
CF3_4	Gerreidae	Parequula	melbournensis	10
CF3_4	Labridae	Ophthalmolepis	lineolatus	8
CF3_4	Monacanthidae	Meuschenia	venusta	1
CF3_4	Monacanthidae	Scobinichthys	granulatus	1
CF3_4	Myliobatidae	Myliobatis	tenuicaudatus	2
CF3_4	Pempherididae	Pempheris	klunzingeri	4
CF3_4	Rhinobatidae	Trygonorrhina	dumerilii	1
