Sample	Family	Genus	Species	Count
CF1_1	Dasyatidae	Bathytoshia	brevicaudata	1
CF1_1	Labridae	Austrolabrus	maculatus	1
CF1_1	Labridae	Coris	auricularis	19
CF1_1	Labridae	Notolabrus	parilus	1
CF1_1	Labridae	Ophthalmolepis	lineolatus	6
CF1_1	Labridae	Pseudolabrus	biserialis	4
CF1_1	Urolophidae	Urolophus	circularis	1
CF1_2	Labridae	Coris	auricularis	28
CF1_2	Labridae	Ophthalmolepis	lineolatus	4
CF1_2	Labridae	Pseudolabrus	biserialis	3
CF1_2	Monacanthidae	Scobinichthys	granulatus	1
CF1_2	Pomacentridae	Chromis	klunzingeri	4
CF1_2	Scorpididae	Neatypus	obliquus	2
CF1_3	Labridae	Coris	auricularis	2
CF1_3	Labridae	Ophthalmolepis	lineolatus	4
CF1_3	Labridae	Pictilabrus	laticlavius	1
CF1_3	Labridae	Pseudolabrus	biserialis	2
CF1_3	Monacanthidae	Scobinichthys	granulatus	1
CF1_3	Scorpididae	Neatypus	obliquus	3
CF1_4	Labridae	Austrolabrus	maculatus	2
CF1_4	Labridae	Coris	auricularis	15
CF1_4	Labridae	Notolabrus	parilus	2
CF1_4	Labridae	Ophthalmolepis	lineolatus	10
CF1_4	Labridae	Pseudolabrus	biserialis	3
CF1_4	Monacanthidae	Meuschenia	galii	1
CF1_4	Mullidae	Upeneichthys	vlamingii	1
CF1_4	Myliobatidae	Myliobatis	tenuicaudatus	1
CF1_4	Scorpididae	Neatypus	obliquus	6
CF1_5	Carangidae	Pseudocaranx	spp.	4
CF1_5	Labridae	Coris	auricularis	14
CF1_5	Labridae	Ophthalmolepis	lineolatus	7
CF1_5	Labridae	Pictilabrus	laticlavius	1
CF1_5	Labridae	Pseudolabrus	biserialis	4
CF1_5	Lethrinidae	Lethrinus	miniatus	1
CF1_5	Monacanthidae	Meuschenia	galii	2
CF1_5	Monacanthidae	Scobinichthys	granulatus	1
CF1_5	Scorpididae	Tilodon	sexfasciatus	1
CF1_5	Serranidae	Epinephelides	armatus	1
CF2_1	Labridae	Ophthalmolepis	lineolatus	4
CF2_2	Labridae	Austrolabrus	maculatus	1
CF2_2	Labridae	Coris	auricularis	31
CF2_2	Labridae	Notolabrus	parilus	1
CF2_2	Labridae	Ophthalmolepis	lineolatus	5
CF2_2	Labridae	Pseudolabrus	biserialis	4
CF2_2	Monacanthidae	Meuschenia	galii	1
CF2_2	Scorpididae	Neatypus	obliquus	7
CF2_3	Labridae	Coris	auricularis	12
CF2_3	Labridae	Ophthalmolepis	lineolatus	9
CF2_3	Labridae	Pseudolabrus	biserialis	4
CF2_3	Monacanthidae	Meuschenia	galii	1
CF2_3	Monacanthidae	Scobinichthys	granulatus	1
CF2_3	Scorpididae	Neatypus	obliquus	5
CF2_3	Serranidae	Caesioperca	spp	2
CF5_1	Heterodontidae	Heterodontus	portusjacksoni	1
CF5_1	Labridae	Coris	auricularis	14
CF5_1	Labridae	Notolabrus	parilus	1
CF5_1	Labridae	Ophthalmolepis	lineolatus	5
